case_id,timestamp,activity,subject,object
59117,2024-07-02T19:06:38+00:00,create issue,patrickracicot,"Regression issue with React import when using `""jsx"": ""react""` compiler"
59117,2024-07-05T21:34:54Z,assign user to issue,andrewbranch,andrewbranch
59117,2024-07-05T21:35:04Z,add label to issue,andrewbranch,Bug
59117,2024-07-05T21:35:16Z,add milestone to issue,andrewbranch,TypeScript 5.5.3
59117,2024-07-08T23:06:08Z,commit changes,andrewbranch,b99009602ba99bbf4e2023af0de1b3ebaecb4bb2
59117,2024-07-08T23:10:20+00:00,create PR,andrewbranch,59193
59117,2024-07-08T23:10:21Z,link PR to issue,andrewbranch,59193
59117,2024-07-08T23:10:23Z,assign user to PR,andrewbranch,andrewbranch
59117,2024-07-08T23:10:23Z,add label to PR,typescript-bot,Author: Team
59117,2024-07-08T23:10:25Z,add label to issue,typescript-bot,Fix Available
59117,2024-07-08T23:10:25Z,add label to PR,typescript-bot,For Milestone Bug
59117,2024-07-08T23:10:30Z,request review for PR,andrewbranch,weswigham
59117,2024-07-08T23:11:28Z,head ref force pushed,andrewbranch,
59117,2024-07-08T23:12:47Z,head ref force pushed,andrewbranch,
59117,2024-07-08T23:14:04Z,head ref force pushed,andrewbranch,
59117,2024-07-09T16:05:01Z,remove milestone from issue,andrewbranch,TypeScript 5.5.3
59117,2024-07-09T16:05:01Z,add milestone to issue,andrewbranch,TypeScript 5.5.4
59117,2024-07-10T16:45:14Z,request review for PR,andrewbranch,jakebailey
59117,2024-07-16T18:28:23Z,review PR,jakebailey,59193
59117,2024-07-16T20:46:38Z,merge PR,DanielRosenwasser,
59117,2024-07-16T20:46:38Z,close PR,DanielRosenwasser,
59117,2024-07-16T20:46:39Z,close issue,DanielRosenwasser,
59117,2024-08-29T10:26:19Z,link PR to issue,George-Payne,5959
59473,2023-01-02T21:33:09Z,commit changes,Andarist,f6074e850dd4ffc444b1ae9d3118b6604a6100fb
59473,2023-01-02T21:47:52Z,commit changes,Andarist,5b9a5ddf78698b24f2c405cf00f2c3790248f7da
59473,2023-01-04T06:15:50Z,commit changes,Andarist,bafe4fbe48eeced8c4e13f8ef7fa483772e0e331
59473,2023-01-04T07:08:25+00:00,create PR,Andarist,52095
59473,2023-01-04T07:08:36Z,add label to PR,typescript-bot,For Backlog Bug
59473,2023-01-17T07:42:59Z,commit changes,Andarist,6bb681ef2c60f7c2d8988693c96efc7f28a1286f
59473,2023-01-19T00:48:41Z,add PR to project,sandersn,3886818
59473,2023-02-14T17:13:21Z,assign user to PR,ahejlsberg,ahejlsberg
59473,2023-02-14T17:13:29Z,request review for PR,sandersn,ahejlsberg
59473,2023-02-14T17:13:29Z,request review for PR,sandersn,gabritto
59473,2023-03-22T08:31:30Z,commit changes,Andarist,59414ae683c6384ca3e5dbd8b99effa017a1200e
59473,2023-05-22T14:50:25Z,commit changes,Andarist,19ab1c5e0fcaa453895e7480167cc1788d563933
59473,2023-05-22T19:39:05Z,commit changes,Andarist,3ab57738eb32fe8715fbbd14bccbf1e96e5ddf65
59473,2023-05-22T22:35:36Z,commit changes,Andarist,48faaa32a667eabd52232271fdb0f285df9cd318
59473,2023-05-22T22:38:53Z,commit changes,Andarist,937a0ea6d37fccecd267b256942cb0f36cddeb04
59473,2023-06-13T09:10:01Z,commit changes,Andarist,5861cc05c0695064770f466e911169b34ed59120
59473,2023-07-25T14:25:56Z,commit changes,Andarist,b9a92852eed80ecda744c45a7ae2f617a8e6ff23
59473,2023-07-25T16:34:33Z,commit changes,Andarist,6d24ca825d1726d0b07d3e99e7bf0fbee394e1f8
59473,2023-07-25T16:46:57Z,commit changes,Andarist,ea31c96a72f5c19b3d960b45dae3cdba83cbbb53
59473,2023-12-12T14:58:27Z,commit changes,Andarist,f9744e8e4829871d5b7adffd9727c51944c45a07
59473,2024-03-13T11:31:45Z,commit changes,Andarist,2fe75f101058c1e86c1c271aad204ddad209da29
59473,2024-07-30T01:05:58Z,commit changes,Andarist,04bfab19d5775332feb80406d0b0fa0f5ab65dae
59473,2024-07-30T01:10:51Z,commit changes,Andarist,1f9c4ea28ae2166045e1b62e4e7c2876019f1102
59473,2024-07-30T05:29:54Z,commit changes,Andarist,52effa593957dbbc1ef261368ca10dd916c499cb
